Turn,Dead,Infected,Recovered,Vaccinated,Cured,Total_Population,Mortality Rate,Infection Rate,Recovery Rate,Vaccination Rate,Cured Rate,Male,Female,Smoker,Non-Smoker,Pre-Existing Conditions,No Pre-Existing Conditions,Active,Sedentary,Moderate
41,0,0,2,4,1,6,0.0,0.0,0.3333333333333333,0.6666666666666666,0.16666666666666666,2,4,2,4,4,2,1,4,1
42,0,0,2,4,1,6,0.0,0.0,0.3333333333333333,0.6666666666666666,0.16666666666666666,1,5,4,2,2,4,2,0,4
43,50,93,110,28,18,178,0.2808988764044944,0.5224719101123596,0.6179775280898876,0.15730337078651685,0.10112359550561797,90,88,83,95,90,88,57,53,68
44,11,52,100,0,5,121,0.09090909090909091,0.4297520661157025,0.8264462809917356,0.0,0.04132231404958678,64,57,67,54,57,64,34,39,48
45,0,0,7,0,1,12,0.0,0.0,0.5833333333333334,0.0,0.08333333333333333,7,5,7,5,4,8,7,3,2
46,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,1,0,1,0,1,0,0,0,1
47,0,0,10,0,1,10,0.0,0.0,1.0,0.0,0.1,4,6,3,7,5,5,2,4,4
48,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,1,0,1,0,0,1,0,1,0
49,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,1,0,1,0,1,0,1,0
50,1,0,0,0,1,1,1.0,0.0,0.0,0.0,1.0,1,0,0,1,1,0,1,0,0
51,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,1,0,1,1,0,0,0,1
52,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,1,0,1,0,1,0,0,1,0
53,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,1,0,0,1,1,0,1,0,0
54,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,1,0,1,1,0,0,1,0
55,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,1,0,1,1,0,0,1,0
56,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,1,0,1,0,1,0,0,0,1
57,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,1,0,1,0,1,0,1,0,0
58,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,1,0,1,0,1,0,0,1
59,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,1,1,0,1,0,1,0,0
60,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,1,0,0,1,0,1,0,1,0
61,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,1,0,1,1,0,1,0,0
62,5,20,9,36,27,46,0.10869565217391304,0.43478260869565216,0.1956521739130435,0.782608695652174,0.5869565217391305,20,26,22,24,29,17,15,8,23
63,7,17,18,31,13,46,0.15217391304347827,0.3695652173913043,0.391304347826087,0.6739130434782609,0.2826086956521739,22,24,24,22,26,20,23,14,9
64,164,294,0,37,50,220,0.7454545454545455,1.3363636363636364,0.0,0.16818181818181818,0.22727272727272727,108,112,116,104,124,96,79,61,80
65,0,0,0,0,1,100,0.0,0.0,0.0,0.0,0.01,53,47,52,48,51,49,36,37,27
66,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,1,1,0,0,1,0,0,1
67,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,1,0,1,1,0,0,1,0
68,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,1,0,0,1,1,0,0,1,0
69,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,1,0,1,0,0,1,1,0,0
70,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,1,0,1,0,1,0,1,0
71,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,1,1,0,0,1,0,1,0
72,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,1,0,1,0,0,1,0,1,0
73,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,1,0,1,0,1,0,0,1,0
74,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,1,0,0,1,1,0,0,1,0
75,5,27,8,42,33,49,0.10204081632653061,0.5510204081632653,0.16326530612244897,0.8571428571428571,0.673469387755102,29,20,25,24,23,26,23,15,11
76,18,42,17,26,37,77,0.23376623376623376,0.5454545454545454,0.22077922077922077,0.33766233766233766,0.4805194805194805,34,43,36,41,38,39,26,27,24
77,0,2,2,6,3,7,0.0,0.2857142857142857,0.2857142857142857,0.8571428571428571,0.42857142857142855,3,4,3,4,3,4,1,3,3
78,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,1,0,1,0,0,1,0,1,0
79,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,1,0,0,1,1,0,1,0,0
80,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,1,0,0,1,1,0,1,0,0
